,Date,User,Tweet
0,2022-11-17 17:19:15+00:00,ZARA,Rain boot Water resistant TRETORN X ZARA https://t.co/T3oMxJYFDE https://t.co/0dW5KTFdQl
1,2022-11-10 18:00:14+00:00,ZARA,"ZARA SRPLS. COLLECTION 09.  Urban toughness and urbane sleekness are evoked via the zippers, transparencies and hardware that punctuate refined, detail-driven wardrobe staples: this is a collection of hero piece https://t.co/ouwvQne8sY https://t.co/m7stMP6yZ1"
2,2022-11-10 14:00:24+00:00,ZARA,"ZARA SRPLS. COLLECTION 09. For the season ahead, Zara’s capsule collection devoted to the intersection between fashion and function builds on its utilitarian foundation to unlock a fresh mode of worn expression https://t.co/u7nq5CeQBQ https://t.co/1o6A2BrxVS"
3,2022-11-10 08:00:19+00:00,ZARA,ZARA SRPLS. COLLECTION 09. A freshly elevated exploration of clothing’s universal codes  https://t.co/XZ2JY4iUzc https://t.co/bprwPO09Qk
4,2022-11-09 17:00:13+00:00,ZARA,Get ready for the party https://t.co/uxod658Cbj https://t.co/kTbzq3kunY
5,2022-11-09 14:00:12+00:00,ZARA,Ready for the party! https://t.co/uxod658Cbj https://t.co/A9EZDVqOUN
6,2022-11-09 09:51:10+00:00,ZARA,Party collection https://t.co/uxod658Cbj https://t.co/GlEkhmB0uI
7,2022-11-08 21:00:08+00:00,ZARA,Celebrate in style with our party collection https://t.co/uxod658Cbj https://t.co/1fi0MFd5Ci
8,2022-11-08 19:00:08+00:00,ZARA,Party collection https://t.co/uxod658Cbj https://t.co/DXwrC4DPzH
9,2022-11-08 17:29:40+00:00,ZARA,Discover our party collection https://t.co/uxod658Cbj https://t.co/iWOWW0evQj
10,2022-11-03 18:00:13+00:00,ZARA,"ZARA SRPLS. COLLECTION 09.  Urban toughness and urbane sleekness are evoked via the zippers, transparencies and hardware that punctuate refined, detail-driven wardrobe staples: this is a collection of hero piece https://t.co/ouwvQne8sY https://t.co/8zaiXyox8R"
11,2022-11-03 14:00:19+00:00,ZARA,"ZARA SRPLS. COLLECTION 09. For the season ahead, Zara’s capsule collection devoted to the intersection between fashion and function builds on its utilitarian foundation to unlock a fresh mode of worn expression https://t.co/u7nq5CeQBQ https://t.co/rEcNK0ZOL1"
12,2022-11-03 08:00:22+00:00,ZARA,ZARA SRPLS. COLLECTION 09. A freshly elevated exploration of clothing’s universal codes  https://t.co/XZ2JY4iUzc https://t.co/MBhr9JFYLy
13,2022-10-27 17:00:10+00:00,ZARA,Into the Classics. This collection of timeless garments mixing a classic wardrobe with a fresh French touch. https://t.co/L5nbELskWR https://t.co/xUr6zitBNN
14,2022-10-27 13:00:11+00:00,ZARA,Into the Classics. A Collection for day-to-day looks. https://t.co/L5nbELskWR https://t.co/ZudnmrWiVu
15,2022-10-27 08:38:09+00:00,ZARA,"Into the Classics is the second part of Into the Night collection launched in July. If the first drop was inspired by the Parisienne night-time and its sparkles, this second one is centered in this city’s energetic day-to-day looks. https://t.co/L5nbELskWR https://t.co/PnUGPj4pGW"
16,2022-10-14 16:00:20+00:00,ZARA,"NORDIC WANDERERS. FW’22 CAMPAIGN
https://t.co/cld9GCcLmI
Creative director: Fabien Baron 
Photographs by: Josh Olins
Styling: Karl Templer
Make up: Lili Choi
Hair: Benjamin Muller
Set Designer: Stefan Beckman https://t.co/ruO1rYndzH"
17,2022-10-14 13:00:54+00:00,ZARA,"NORDIC WANDERERS. FW’22 CAMPAIGN
https://t.co/cld9GCcLmI
Creative director: Fabien Baron 
Film by Josh Olins
Styling: Karl Templer
Make up: Lili Choi
Hair: Benjamin Muller
Set Designer: Stefan Beckman https://t.co/oDkeP57tLT"
18,2022-10-14 07:00:17+00:00,ZARA,"NORDIC WANDERERS. FW’22 CAMPAIGN
Iceland, the snow and the mountains provide the perfect backdrop for Nordic Wanderers, the Zara Studio Kids FW22 collection. https://t.co/cld9GCcLmI
Creative director: Fabien Baron 
Photographs by: Josh Olins https://t.co/jDF6BDunW6"
19,2022-10-13 16:00:13+00:00,ZARA,"A MOMENT IN TIME. FW’22 CAMPAIGN
Liberated from outdated context, the collection is intended to be worn according to the wearer’s mood rather than the demands of an occasion. https://t.co/SjHJhlnEhi
Creative director: Fabien Baron 
Photographs by: Steven Meisel https://t.co/4j8tPeeTHk"
20,2022-10-13 13:00:20+00:00,ZARA,"A MOMENT IN TIME. FW’22 CAMPAIGN
https://t.co/SjHJhlnEhi
Creative director: Fabien Baron 
Film by Fabien Baron https://t.co/xhOzOOh8KR"
21,2022-10-13 07:00:08+00:00,ZARA,"A MOMENT IN TIME. FW’22 CAMPAIGN https://t.co/SjHJhlnEhi
Creative director: Fabien Baron 
Photographs by: Steven Meisel https://t.co/9mIqi2Ixgu"
